,LEC #,TOPICS,TOPICS_URL,SUPPORTING FILES,FILES_URL
0,,Control and Scope,,,
1,L 1,"Course Overview, Introduction to Java (PDF)",https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/resources/mit1_00s12_lec_1/,,
2,L 2,Interactive Development Environment: Eclipse (PDF),https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/resources/mit1_00s12_lec_2/,,
3,L 3,"Operators, Control Structures (PDF)",https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/resources/mit1_00s12_lec_3/,Lecture 3 code (ZIP) (This ZIP file contains: 1 .java file.),https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/resources/lecture_3_code/
4,L 4,"Data Types, More Operators (PDF)",https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/resources/mit1_00s12_lec_4/,Lecture 4 code (ZIP) (This ZIP file contains: 2 .java files.),https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/resources/lecture_4_code/
5,L 5,"More Data Types, Control Structures, Intro to Methods (PDF)",https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/resources/mit1_00s12_lec_5/,Lecture 5 code (ZIP) (This ZIP file contains: 5 .java files.),https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/resources/lecture_5_code/
6,L 6,Methods and Scope (PDF),https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/resources/mit1_00s12_lec_6/,Lecture 6 code (ZIP) (This ZIP file contains: 2 .java files.),https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/resources/lecture_6_code/
7,,Classes and Objects,,,
8,L 7,Classes and Objects (PDF),https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/resources/mit1_00s12_lec_7/,Lecture 7 code (ZIP) (This ZIP file contains: 2 .java files.),https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/resources/lecture_7_code/
9,L 8,Classes II (PDF),https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/resources/mit1_00s12_lec_8/,Lecture 8 code (ZIP) (This ZIP file contains: 4 .java files.),https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/resources/lecture_8_code/
